🕘️更新时间,#genre#
2025-09-05 18:12:54,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1

📺央视频道,#genre#
CCTV-1,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv1
CCTV-2,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv2
CCTV-3,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv3
CCTV-4,http://111.43.126.240:9003/hls/16/index.m3u8
CCTV-5,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv5
CCTV-5,http://121.60.56.116:10001/rtp/239.69.1.123:10376
CCTV-10,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv10
CCTV-11,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv11
CCTV-14,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv14
CCTV-15,http://mg.hmysapp.cn:177/ckmg/zb.php?id=cctv15
CCTV-16,http://121.60.56.116:10001/rtp/239.69.1.247:11124
CCTV-16,http://61.149.251.202:4022/rtp/239.3.1.184:8001

💰央视付费频道,#genre#

📡卫视频道,#genre#
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
河南卫视,http://lxajh.top/tv/hn.php?id=hnws
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
江苏卫视,http://mg.hmysapp.cn:177/ckmg/zb.php?id=jsws
西藏卫视,http://219.146.95.58:59902/tsfile/live/0111_1.m3u8
新疆卫视,http://219.146.95.58:59902/tsfile/live/0110_1.m3u8?txiptv

☘️港台频道,#genre#
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://iptv.4666888.xyz/iptv.php?id=20060
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
